Symbol,Company,FV,Sector,No Years,Price,Div Yield,5Y Avg Yield,Current Div,Payouts/ Year,Annualized,Previous Div,Ex-Date,Pay-Date,Low,High,DGR 1Y,DGR 3Y,DGR 5Y,DGR 10Y,TTR 1Y,TTR 3Y,Fair Value,FV %,,Streak Basis,Chowder Number,EPS 1Y,Revenue 1Y,NPM,CF/Share,ROE,Current R,Debt/Capital,ROTC,P/E,P/BV,PEG,New Member,Industry
CB,Chubb Limited,,Financials,29,195.11,1.70,2.06,0.83,4,3.32,0.800,6/16/22,7/8/22,171.96,218.99,2.87,3.19,3.05,9.62,25.76,12.37,At Fair Value,0,Blended,Declaration date,5,-7.95,4.67,17.53,25.90,12.83,0.40,0.30,6.14,11.75,1.60,1.50,,Insurance
CBSH,"Commerce Bancshares, Inc.",,Financials,54,70.39,1.51,1.56,0.265,4,1.06,0.263,3/7/22,3/23/22,62.63,74.72,5.33,7.65,8.66,6.45,-6.11,10.14,At Fair Value,0,Blended,Ex-date excl. specials,10,-12.99,-2.61,32.54,4.62,15.61,0.09,0.00,,16.96,2.97,1.39,,Banks
CBU,"Community Bank System, Inc.",,Financials,30,64.39,2.73,2.49,0.44,4,1.76,0.430,9/14/22,10/10/22,60.94,78.00,2.39,4.21,6.09,5.16,-14.23,1.21,At Fair Value,0,Blended,Ex-date,9,-7.85,2.94,27.63,3.96,9.45,0.02,0.00,,19.49,2.05,2.19,,Banks
CFR,"Cullen/Frost Bankers, Inc.",,Financials,29,140.71,2.47,2.82,0.87,4,3.48,0.750,8/30/22,9/15/22,106.66,147.39,4.53,3.33,6.50,4.90,6.47,10.76,At Fair Value,0,Blended,Ex-date,9,0.52,8.92,29.97,10.55,9.96,0.38,0.00,,17.87,2.06,3.64,,Banks
CHD,"Church & Dwight Co., Inc.",,Consumer Staples,26,80.84,1.30,1.25,0.263,4,1.05,0.253,2/14/22,3/1/22,79.35,105.28,4.57,5.00,6.99,9.65,9.95,9.52,In the Margin of Safety,0,Blended,Ex-date,8,-2.02,5.08,14.72,3.95,22.51,1.02,0.46,10.17,28.94,6.34,2.20,,Household Products
CINF,Cincinnati Financial Corporation,,Financials,62,99.68,2.77,2.64,0.69,4,2.76,0.630,3/17/22,4/15/22,93.41,143.22,7.32,6.59,6.14,5.07,4.30,7.36,At Fair Value,0,Blended,Ex-date excl. specials,9,-80.96,-24.36,7.59,11.34,4.84,1.15,0.08,3.53,35.23,1.80,-39.71,,Insurance
CL,Colgate-Palmolive Company,,Consumer Staples,59,77.84,2.42,2.34,0.47,4,1.88,0.450,4/20/22,5/13/22,72.20,85.61,2.83,2.51,3.00,4.43,0.76,6.23,At Fair Value,0,Blended,Ex-date,5,-27.85,3.63,10.99,3.59,297.33,1.18,0.94,26.15,34.67,397.90,-11.14,,Household Products
CLX,The Clorox Company,,Consumer Staples,45,145.8,3.24,2.56,1.18,4,4.72,1.160,7/26/22,8/12/22,120.50,186.86,4.51,6.52,7.72,6.82,-19.42,-0.26,In the Margin of Safety,-1,Blended,Ex-date,11,-33.63,-3.19,6.51,6.39,71.31,0.97,0.82,11.85,37.57,31.23,-5.23,,Household Products
CNI,Canadian National Railway Company,,Industrials,27,119.37,1.87,1.77,0.559,4,2.23,,,,106.61,137.19,13.34,12.66,12.42,11.82,8.46,8.68,In the Margin of Safety,-4,Blended,Ex-date,14,29.32,8.44,33.28,9.75,24.35,0.71,0.41,12.30,15.39,3.55,2.08,,Road and Rail
CSL,Carlisle Companies Incorporated,,Industrials,46,307.55,0.98,1.24,0.75,4,3.00,0.540,8/17/22,9/1/22,195.04,318.71,2.86,10.53,9.06,11.62,25.85,20.85,In the Margin of Safety,-14,Blended,Ex-date,10,128.47,44.93,12.69,9.32,27.74,2.02,0.51,12.80,17.00,4.27,0.52,,Industrial Conglomerates
CTAS,Cintas Corporation,,Industrials,38,429.39,1.07,1.17,1.15,4,4.60,0.950,8/12/22,9/15/22,343.86,461.44,-24.16,22.85,23.37,21.55,-1.27,17.66,At Fair Value,0,Blended,Fiscal year ex-date excl. specials,24,13.29,10.38,15.74,14.91,35.33,1.84,0.48,15.55,33.43,12.25,1.47,,Commercial Services and Supplies
CTBI,"Community Trust Bancorp, Inc.",,Financials,42,42.21,4.17,3.70,0.44,4,1.76,0.400,9/14/22,10/1/22,38.21,46.30,3.90,3.58,4.57,3.57,4.13,2.58,In the Margin of Safety,-7,Blended,Ex-date excl. specials,9,-0.79,0.22,36.88,5.17,12.22,0.05,0.00,,8.96,1.15,0.81,,Banks
CVX,Chevron Corporation,,Energy,35,155.95,3.64,4.32,1.42,4,5.68,1.340,2/15/22,3/10/22,93.31,182.40,5.96,6.12,5.08,5.28,44.49,10.41,At Fair Value,0,Blended,Ex-date,9,696.98,77.63,14.10,20.67,20.24,1.31,0.15,10.90,9.62,1.85,0.26,,"Oil, Gas and Consumable Fuels"
CWT,California Water Service Group,,Utilities,55,58.55,1.71,1.70,0.25,4,1.00,0.230,2/4/22,2/18/22,48.46,72.08,8.48,7.63,6.37,4.43,1.66,4.85,At Fair Value,0,Blended,Ex-date,8,-44.40,-5.26,10.69,4.78,7.79,0.97,0.49,3.60,34.16,2.52,5.47,,Water Utilities
DCI,"Donaldson Company, Inc.",,Industrials,36,52.35,1.76,1.64,0.23,4,0.92,0.220,6/8/22,6/24/22,46.00,63.15,4.71,4.50,4.93,10.78,-23.05,-0.27,In the Margin of Safety,-8,Blended,Ex-date,7,18.54,15.87,10.07,2.05,29.32,2.24,0.37,15.97,20.23,5.91,2.27,,Machinery
DOV,Dover Corporation,,Industrials,67,127.85,1.58,1.90,0.505,4,2.02,0.500,8/30/22,9/15/22,116.66,184.05,1.02,1.38,2.59,4.73,-18.42,8.30,In the Margin of Safety,-1,Blended,Ex-date,4,29.81,10.64,13.90,6.12,28.18,1.41,0.44,11.30,15.30,3.97,0.96,,Machinery
EBTC,"Enterprise Bancorp, Inc.",,Financials,28,31.71,2.59,2.16,0.205,4,0.82,0.185,2/7/22,3/1/22,29.58,46.48,8.34,8.54,8.04,6.14,0.38,2.96,In the Margin of Safety,-13,Blended,Ex-date,11,-6.90,4.36,24.77,4.42,12.54,0.09,0.00,,9.92,1.36,0.81,,Banks
ECL,Ecolab Inc.,,Materials,30,170.92,1.19,1.05,0.51,4,2.04,0.480,12/13/21,1/18/22,143.82,238.93,5.24,3.94,6.61,10.00,-24.54,-7.08,In the Margin of Safety,-4,Blended,Ex-date,8,5.07,11.55,8.18,6.14,16.19,1.29,0.57,7.61,39.80,6.18,-14.72,,Chemicals
ED,"Consolidated Edison, Inc.",,Utilities,48,100.66,3.14,3.75,0.79,4,3.16,0.775,2/15/22,3/15/22,71.52,101.57,1.63,2.46,2.85,2.65,37.72,6.75,Above Fair Value,0,Blended,Ex-date,6,39.00,12.08,11.17,9.33,7.20,0.89,0.56,3.53,20.77,1.66,10.56,,Multi-Utilities
EMR,Emerson Electric Co.,,Industrials,65,83.67,2.46,2.73,0.515,4,2.06,0.505,11/10/21,12/10/21,76.16,101.48,1.74,1.60,1.38,2.87,-15.55,8.85,At Fair Value,0,Blended,Ex-date,4,35.09,7.68,16.45,4.31,24.95,1.07,0.43,9.42,14.96,4.60,0.94,,Electrical Equipment
ENB,Enbridge Inc.,,Energy,27,41.13,6.55,6.37,0.674,4,2.69,0.659,8/12/22,9/1/22,36.21,47.67,3.63,7.89,9.52,9.72,12.61,12.87,In the Margin of Safety,-2,Blended,Ex-date,16,-19.25,23.93,10.21,4.78,8.42,0.59,0.55,3.44,17.47,1.56,1.91,,"Oil, Gas and Consumable Fuels"
EPD,Enterprise Products Partners L.P.,,Energy,25,26.53,7.16,7.75,0.475,4,1.90,0.465,7/28/22,8/12/22,20.42,28.65,28.22,9.78,7.09,6.42,11.03,3.02,In the Margin of Safety,-4,Blended,Ex-date,14,27.50,57.41,9.55,4.02,18.97,0.87,0.52,6.76,10.97,2.06,0.93,,"Oil, Gas and Consumable Fuels"
ERIE,Erie Indemnity Company,,Financials,32,224.92,1.97,2.08,1.11,4,4.44,1.035,1/4/22,1/20/22,158.46,234.96,7.26,7.23,7.24,7.23,1.72,-6.78,At Fair Value,0,Blended,Declaration date excl. specials,9,-3.47,5.80,10.81,7.30,22.76,1.17,0.03,15.92,34.18,7.51,4.88,,Insurance
ESS,"Essex Property Trust, Inc.",,Real Estate,28,275.28,3.20,3.05,2.2,4,8.80,2.090,3/30/22,4/14/22,250.62,363.36,2.95,4.04,5.08,7.21,-10.45,-0.63,At Fair Value,0,Blended,Ex-date,8,-4.40,6.89,24.02,15.14,6.71,0.66,0.51,2.68,44.22,2.93,-8.26,,Equity Real Estate Investment Trusts (REITs)
EXPD,"Expeditors International of Washington, Inc.",,Industrials,28,101.42,1.32,1.20,0.67,2,1.34,0.580,5/31/22,6/15/22,92.58,137.80,13.64,9.58,8.80,8.96,-22.18,9.98,In the Margin of Safety,-30,Blended,Ex-date,10,55.73,56.41,8.10,8.68,46.71,1.86,0.13,35.81,10.65,4.51,0.34,,Air Freight and Logistics
FELE,"Franklin Electric Co., Inc.",,Industrials,30,87.71,0.89,1.02,0.195,4,0.78,0.175,2/2/22,2/17/22,68.27,96.95,12.13,11.77,12.68,10.41,-8.31,16.72,In the Margin of Safety,-4,Blended,Ex-date,14,32.92,31.30,9.29,0.69,18.75,1.70,0.27,10.77,19.42,3.44,1.28,,Machinery
FLIC,The First of Long Island Corporation,,Financials,26,18.24,4.39,3.62,0.2,4,0.80,0.190,10/7/21,10/18/21,16.51,22.95,5.34,6.18,13.47,6.93,-14.27,-0.62,In the Margin of Safety,-28,Blended,Declaration date,18,4.50,3.75,36.25,2.20,11.35,0.03,0.00,,9.09,1.07,1.42,,Banks
FRT,Federal Realty Investment Trust,,Real Estate,55,102.46,4.22,3.88,1.08,4,4.32,1.070,9/21/22,10/17/22,92.02,140.51,0.95,1.61,1.78,4.49,-15.19,-5.69,In the Margin of Safety,-3,Blended,Ex-date excl. specials,6,74.86,17.70,27.32,6.21,9.89,1.87,0.58,3.01,27.58,2.94,396.68,,Equity Real Estate Investment Trusts (REITs)
FUL,H.B. Fuller Company,,Materials,53,65.81,1.15,1.23,0.19,4,0.76,0.168,4/20/22,5/5/22,57.36,81.73,5.73,3.48,3.98,8.37,-4.38,10.47,In the Margin of Safety,-2,Blended,Ex-date,5,2.66,18.24,4.71,2.34,10.58,1.96,0.55,5.66,22.56,2.35,3.18,,Chemicals
GD,General Dynamics Corporation,,Industrials,31,227.69,2.21,2.38,1.26,4,5.04,1.190,4/7/22,5/6/22,188.64,254.99,35.64,16.93,20.88,15.44,20.95,9.73,At Fair Value,0,Blended,Declaration date,23,3.31,-0.21,8.61,20.88,20.24,1.40,0.44,8.95,18.79,3.53,3.78,,Aerospace and Defense
GGG,Graco Inc.,,Industrials,25,65.53,1.28,1.27,0.21,4,0.84,0.188,1/14/22,2/2/22,56.48,81.09,38.63,19.77,16.92,13.24,-20.65,7.07,In the Margin of Safety,-10,Blended,Declaration date excl. specials,18,-1.29,10.60,21.38,2.20,27.32,3.02,0.09,18.62,22.84,5.73,0.62,,Machinery
GPC,Genuine Parts Company,,Consumer Discretionary,66,161.94,2.21,2.93,0.895,4,3.58,0.815,3/3/22,4/1/22,115.63,162.38,6.55,4.88,5.12,6.12,8.01,12.01,At Fair Value,0,Blended,Ex-date,7,36.75,14.83,5.38,9.47,31.98,1.17,0.53,13.59,17.15,5.17,1.59,,Distributors
GWW,"W.W. Grainger, Inc.",,Industrials,51,570.79,1.21,1.70,1.72,4,6.88,1.620,5/6/22,6/1/22,391.16,588.62,5.96,6.04,5.91,9.00,5.24,21.21,At Fair Value,0,Blended,Ex-date,7,55.48,16.05,9.27,18.84,60.36,2.58,0.53,25.12,17.72,10.52,0.74,,Trading Companies and Distributors
HRL,Hormel Foods Corporation,,Consumer Staples,56,46.84,2.22,1.98,0.26,4,1.04,0.245,1/14/22,2/15/22,40.48,55.11,5.77,8.31,9.90,13.80,1.30,7.51,At Fair Value,0,Blended,Ex-date,12,15.53,22.02,7.94,2.44,14.16,2.40,0.32,7.78,26.80,3.67,12.12,,Food Products
IBM,International Business Machines Corporation,,Information Technology,27,128.47,5.14,4.69,1.65,4,6.60,1.640,5/9/22,6/10/22,114.56,146.00,0.62,1.25,2.89,7.81,1.21,5.89,In the Margin of Safety,-1,Blended,Ex-date,8,114.36,27.28,9.37,10.93,27.09,0.88,0.74,5.33,22.56,6.58,-1.83,,IT Services
ITW,Illinois Tool Works Inc.,,Industrials,59,203.96,2.57,2.42,1.31,4,5.24,1.220,9/29/22,10/14/22,173.52,249.82,7.02,6.86,13.42,12.99,-16.58,9.08,At Fair Value,0,Blended,Ex-date,16,0.31,8.45,17.44,7.09,76.76,1.49,0.70,19.91,21.53,16.71,3.39,,Machinery
JKHY,"Jack Henry & Associates, Inc.",,Information Technology,32,197.39,0.99,1.06,0.49,4,1.96,0.460,3/7/22,3/25/22,147.50,212.62,6.75,7.26,10.00,15.76,11.32,11.59,At Fair Value,0,Blended,Fiscal year ex-date,11,20.05,10.51,18.68,6.89,26.88,1.13,0.11,19.59,36.38,9.50,3.34,,IT Services
JNJ,Johnson & Johnson,,Health Care,60,165.39,2.73,2.63,1.13,4,4.52,1.060,5/23/22,6/7/22,155.72,186.69,5.38,5.70,5.88,6.39,10.52,11.32,At Fair Value,0,Blended,Ex-date,9,3.43,7.18,19.22,8.97,25.17,1.43,0.30,14.87,25.72,6.19,8.60,,Pharmaceuticals
KMB,Kimberly-Clark Corporation,,Consumer Staples,50,125.5,3.70,3.30,1.16,4,4.64,1.140,3/3/22,4/4/22,117.32,145.79,4.08,4.26,4.01,4.80,4.59,3.77,At Fair Value,0,Blended,Ex-date,8,-10.12,6.06,8.88,8.28,242.14,0.79,0.93,17.26,25.51,76.95,-10.10,,Household Products
KO,The Coca-Cola Company,,Consumer Staples,60,62.12,2.83,3.21,0.44,4,1.76,0.420,3/14/22,4/1/22,52.28,67.20,3.62,2.88,3.62,5.79,19.86,10.74,At Fair Value,0,Blended,Ex-date,6,17.88,13.49,23.17,2.70,39.22,1.13,0.64,11.09,29.10,12.11,1.62,,Beverages
LANC,Lancaster Colony Corporation,,Consumer Staples,60,170.18,1.88,1.84,0.8,4,3.20,0.750,12/3/21,12/31/21,116.85,177.07,6.79,7.30,7.94,8.38,-32.01,-2.89,At Fair Value,0,Blended,Ex-date excl. specials,10,-37.03,14.27,5.35,3.71,10.62,2.13,0.05,10.22,39.56,4.20,-7.93,,Food Products
LECO,"Lincoln Electric Holdings, Inc.",,Industrials,27,138.57,1.62,1.92,0.56,4,2.24,0.510,12/30/21,1/14/22,118.17,148.55,8.42,6.76,9.84,12.66,-4.79,16.66,At Fair Value,0,Blended,Ex-date,11,24.28,20.36,10.16,6.16,40.63,1.63,0.50,20.87,20.11,7.83,1.70,,Machinery
LEG,"Leggett & Platt, Incorporated",,Consumer Discretionary,51,37.98,4.63,3.99,0.44,4,1.76,0.420,6/14/22,7/15/22,33.19,48.37,4.94,3.35,4.26,4.27,-30.29,0.58,In the Margin of Safety,-19,Blended,Ex-date,9,-6.68,10.37,7.32,2.72,24.66,1.58,0.59,9.47,12.16,2.85,5.63,,Household Durables
LIN,Linde plc,,Materials,29,283.91,1.65,1.69,1.17,4,4.68,1.060,3/10/22,3/25/22,265.12,352.18,10.24,9.47,7.73,7.83,0.89,14.54,At Fair Value,0,Blended,Ex-date,9,10.98,12.71,10.89,19.51,8.35,0.74,0.29,6.32,41.22,3.62,7.78,,Chemicals
LOW,"Lowe's Companies, Inc.",,Consumer Discretionary,60,204.38,2.05,1.67,1.05,4,4.20,0.800,7/19/22,8/3/22,170.12,263.31,36.18,18.57,17.98,19.05,-8.59,22.06,In the Margin of Safety,-32,Blended,Ex-date,20,31.46,0.83,8.84,13.86,335.33,1.12,1.34,28.68,15.17,-14.32,0.53,,Specialty Retail
MATW,Matthews International Corporation,,Industrials,27,24.57,3.58,2.67,0.22,4,0.88,0.215,11/26/21,12/13/21,24.23,39.76,2.35,3.47,5.81,9.60,-18.15,-3.72,In the Margin of Safety,-45,Blended,Ex-date,9,0.00,16.94,-1.29,4.45,-3.71,1.94,0.60,1.87,-40.27,1.49,0.00,,Commercial Services and Supplies
MCD,McDonald's Corporation,,Consumer Discretionary,47,260.08,2.12,2.36,1.38,4,5.52,1.290,11/30/21,12/15/21,217.68,271.15,6.06,6.55,7.92,7.20,9.29,8.46,At Fair Value,0,Blended,Ex-date,10,-11.55,8.51,25.78,10.82,84.52,1.42,1.16,15.02,30.18,-28.52,5.18,,"Hotels, Restaurants and Leisure"
MDT,Medtronic plc,,Health Care,45,87.89,3.09,2.40,0.68,4,2.72,0.630,6/23/22,7/15/22,85.66,133.97,8.44,8.72,8.37,10.24,-25.90,-0.29,In the Margin of Safety,-19,Blended,Declaration date,11,34.78,-1.67,16.76,5.34,10.00,1.58,0.31,4.93,23.80,2.34,4.48,,Healthcare Equipment and Supplies
MDU,"MDU Resources Group, Inc.",,Utilities,31,30.46,2.86,3.10,0.218,4,0.87,0.213,12/8/21,1/1/22,24.92,32.19,2.37,2.43,2.49,2.67,-11.21,4.69,At Fair Value,0,Blended,Ex-date,5,-22.43,9.65,5.33,2.12,9.96,1.35,0.49,5.18,16.74,1.63,2.73,,Multi-Utilities
MGEE,"MGE Energy, Inc.",,Utilities,47,77.53,2.10,2.02,0.408,4,1.63,0.388,8/31/22,9/15/22,69.23,86.27,4.73,4.72,4.74,4.28,6.71,4.23,At Fair Value,0,Blended,Ex-date,7,-1.15,17.89,15.89,4.71,10.10,1.22,0.38,5.30,27.03,2.67,5.13,,Electric Utilities
MGRC,McGrath RentCorp,,Industrials,30,84.75,2.15,2.38,0.455,4,1.82,0.435,4/13/22,4/29/22,68.03,91.37,29.50,16.32,16.46,9.03,-4.21,9.72,At Fair Value,0,Blended,Ex-date,19,-1.24,17.20,14.39,7.41,13.33,1.70,0.37,7.69,19.11,2.47,1.08,,Commercial Services and Supplies
MKC.V,"McCormick & Company, Incorporated",,Consumer Staples,36,78,1.90,1.54,0.37,4,1.48,0.340,12/30/21,1/10/22,77.05,107.02,9.24,9.22,9.55,9.19,-4.19,3.86,In the Margin of Safety,0,Blended,Ex-date excl. specials,11,-9.43,5.19,10.78,2.82,15.26,0.75,0.54,6.25,36.43,5.43,6.06,,Food Products
MMM,3M Company,,Industrials,64,119.27,5.00,3.43,1.49,4,5.96,1.480,2/17/22,3/12/22,115.98,187.92,0.68,1.99,5.39,10.05,-32.47,-6.02,In the Margin of Safety,-47,Blended,Ex-date,10,-30.03,1.02,11.83,10.48,29.39,1.47,0.56,12.98,17.92,5.37,-4.21,,Industrial Conglomerates
MSA,MSA Safety Incorporated,,Industrials,51,119.61,1.54,1.40,0.46,4,1.84,0.440,5/13/22,6/10/22,112.89,158.18,2.90,4.50,5.85,5.33,-25.96,6.09,In the Margin of Safety,-13,Blended,Ex-date excl. specials,7,-59.72,8.28,2.96,3.96,5.10,2.52,0.45,12.28,110.81,5.68,-9.35,,Commercial Services and Supplies
NDSN,Nordson Corporation,,Industrials,59,232.15,1.12,0.90,0.65,4,2.60,0.510,8/22/22,9/6/22,194.89,272.29,30.78,13.38,13.57,15.10,-6.95,13.75,In the Margin of Safety,-14,Blended,Ex-date,15,33.54,7.95,19.25,8.82,22.64,1.35,0.30,12.93,27.72,6.01,2.67,,Machinery
