Symbol,Company,FV,Sector,No Years,Price,Div Yield,5Y Avg Yield,Current Div,Payouts/ Year,Annualized,Previous Div,Ex-Date,Pay-Date,Low,High,DGR 1Y,DGR 3Y,DGR 5Y,DGR 10Y,TTR 1Y,TTR 3Y,Fair Value,FV %,,Streak Basis,Chowder Number,EPS 1Y,Revenue 1Y,NPM,CF/Share,ROE,Current R,Debt/Capital,ROTC,P/E,P/BV,PEG,New Member,Industry
ACRE,Ares Commercial Real Estate Corporation,,Financials,6,11.36,11.62,10.77,,,1.32,0.310,3/28/19,4/16/19,11.21,16.48,0.00,2.95,4.69,,24.20,12.31,At Fair Value,0,Blended,Pay date,16,-18.13,9.85,60.76,1.20,9.63,4.49,0.73,,11.62,1.07,1.63,,Mortgage Real Estate Investment Trusts (REITs)
ADC,Agree Realty Corporation,,Real Estate,9,68.68,4.09,3.77,0.234,12,2.81,0.227,4/28/22,5/13/22,61.62,75.95,9.14,6.75,6.44,5.24,2.45,2.25,At Fair Value,0,Blended,Ex-date,11,1.09,32.99,35.65,3.81,3.99,1.69,0.34,2.40,36.91,1.43,-10.40,,Equity Real Estate Investment Trusts (REITs)
ADI,"Analog Devices, Inc.",,Information Technology,20,143.46,2.12,1.96,0.76,4,3.04,0.690,2/24/22,3/8/22,141.69,191.95,10.99,12.65,10.61,10.43,8.33,18.46,In the Margin of Safety,-7,Blended,Ex-date,13,-18.22,57.28,16.84,7.69,6.67,2.00,0.15,5.04,44.64,2.17,8.13,,Semiconductors and Semiconductor Equipment
ADM,Archer-Daniels-Midland Company,,Consumer Staples,47,79.03,2.02,2.88,0.4,4,1.60,0.370,2/7/22,3/1/22,56.92,98.88,4.14,3.68,4.36,8.47,61.93,31.75,At Fair Value,0,Blended,Ex-date excl. specials,6,47.52,31.83,3.42,9.02,13.82,1.42,0.37,5.62,16.59,2.15,0.93,,Food Products
ADP,"Automatic Data Processing, Inc.",,Information Technology,47,199.94,2.08,2.04,1.04,4,4.16,0.930,12/9/21,1/1/22,192.18,248.96,7.07,10.01,12.37,10.07,23.00,14.97,At Fair Value,0,Blended,Ex-date,14,16.12,9.64,17.77,6.75,58.01,1.02,0.46,29.43,33.45,22.70,2.05,,IT Services
AEE,Ameren Corporation,,Utilities,9,82,2.88,2.66,0.59,4,2.36,0.550,3/8/22,3/31/22,79.35,99.20,9.01,6.30,5.31,3.62,18.27,11.30,At Fair Value,0,Blended,Ex-date,8,1.98,13.47,15.71,8.11,10.55,0.65,0.59,4.09,23.90,2.47,3.02,,Multi-Utilities
AEL,American Equity Investment Life Holding Company,,Financials,18,35.13,0.97,1.20,0.34,1,0.34,0.320,11/26/21,12/13/21,27.12,44.49,6.25,6.69,7.22,10.98,27.83,15.08,In the Margin of Safety,-4,Blended,Ex-date,8,4.82,-22.52,26.35,41.02,13.65,0.41,0.11,10.15,5.27,0.74,0.19,,Insurance
AEM,Agnico Eagle Mines Limited,,Materials,7,51.46,3.11,1.59,0.4,4,1.60,0.350,3/4/22,3/15/22,45.42,67.14,31.82,47.16,30.72,7.87,8.62,14.13,In the Margin of Safety,-91,Blended,Ex-date,34,-34.21,23.51,12.09,5.22,4.63,2.61,0.10,5.87,33.69,1.72,2.30,,Metals and Mining
AEP,"American Electric Power Company, Inc.",,Utilities,13,89.19,3.50,3.31,0.78,4,3.12,0.740,11/9/21,12/10/21,80.22,104.81,5.56,5.63,5.74,5.04,21.97,9.58,At Fair Value,0,Blended,Ex-date,9,13.79,10.69,15.37,11.10,11.62,0.61,0.62,3.92,19.09,2.16,0.65,,Electric Utilities
AES,The AES Corporation,,Utilities,10,18.94,3.34,3.17,0.158,4,0.63,0.151,1/31/22,2/15/22,18.62,27.00,5.02,5.01,6.26,,-1.63,15.89,In the Margin of Safety,-1,Blended,Ex-date,10,0.00,14.08,-1.29,3.16,-14.37,1.07,0.81,5.99,-114.31,7.79,0.00,,Independent Power and Renewable Electricity Producers
AFG,"American Financial Group, Inc.",,Financials,17,129.47,1.73,1.67,0.56,4,2.24,0.500,10/14/21,10/25/21,119.07,152.29,11.58,12.23,12.34,12.13,60.71,28.07,At Fair Value,0,Blended,Ex-date excl. specials,14,174.55,-8.20,28.84,18.74,19.17,1.87,0.30,11.65,11.20,2.57,0.53,,Insurance
AFL,Aflac Incorporated,,Financials,40,53.01,3.02,2.37,0.4,4,1.60,0.330,2/15/22,3/1/22,51.28,67.20,18.81,9.81,10.60,8.24,28.82,11.51,In the Margin of Safety,-6,Blended,Ex-date excl. specials,14,-21.62,-5.89,18.90,7.45,13.19,0.65,0.26,7.99,10.52,1.41,0.72,,Insurance
AGCO,AGCO Corporation,,Industrials,10,107.58,0.89,0.83,0.24,4,0.96,0.200,5/13/22,6/15/22,106.39,150.28,25.00,10.07,8.59,,4.93,30.19,In the Margin of Safety,-81,Blended,Ex-date,9,74.93,19.23,7.85,5.32,26.10,1.65,0.37,12.79,12.21,2.97,0.27,,Machinery
AGM,Federal Agricultural Mortgage Corporation,,Financials,11,90.71,4.19,3.42,0.95,4,3.80,0.880,3/15/22,3/31/22,90.39,137.01,9.46,13.74,25.79,30.54,11.26,18.94,In the Margin of Safety,-12,Blended,Ex-date,30,11.69,16.70,56.46,28.61,12.94,1.48,0.96,,9.68,1.66,0.95,,Thrifts and Mortgage Finance
AGM.A,Federal Agricultural Mortgage Corporation,,Financials,11,98.13,3.87,3.71,0.95,4,3.80,0.880,3/15/22,3/31/22,85.50,124.37,9.46,13.74,25.79,30.54,25.70,20.22,At Fair Value,0,Blended,Ex-date,30,11.69,16.70,56.46,28.61,12.94,1.48,0.96,,10.00,1.71,0.99,,Thrifts and Mortgage Finance
AGO,Assured Guaranty Ltd.,,Financials,11,52.71,1.90,1.88,0.25,4,1.00,0.220,3/8/22,3/23/22,44.34,65.68,10.98,11.31,11.32,15.00,53.24,15.12,At Fair Value,0,Blended,Ex-date,13,19.57,-10.91,49.39,-33.33,7.66,0.70,0.26,5.28,10.17,0.72,-1.58,,Insurance
AIN,Albany International Corp.,,Industrials,5,75.94,1.11,1.12,0.21,4,0.84,0.200,12/27/21,1/10/22,74.17,93.43,5.13,5.42,3.82,4.67,2.00,6.79,At Fair Value,0,Blended,Ex-date,5,1.69,7.20,12.48,5.54,14.11,4.43,0.34,8.78,22.91,3.10,1.23,,Machinery
AIT,"Applied Industrial Technologies, Inc.",,Industrials,13,92.59,1.47,1.83,0.34,4,1.36,0.330,2/14/22,2/28/22,80.93,111.68,3.11,3.21,3.32,5.49,14.15,22.17,At Fair Value,0,Blended,Ex-date,5,603.52,7.11,6.52,4.47,23.37,2.79,0.40,11.41,16.65,3.60,0.33,,Trading Companies and Distributors
AIZ,"Assurant, Inc.",,Financials,18,169.08,1.61,2.11,0.68,4,2.72,0.660,11/26/21,12/20/21,144.18,194.12,3.88,4.93,5.41,14.05,30.37,26.64,At Fair Value,0,Blended,Ex-date,7,24.65,6.94,13.24,12.00,11.26,0.44,0.31,7.33,17.37,1.98,3.62,,Insurance
AJG,Arthur J. Gallagher & Co.,,Financials,12,149.05,1.37,1.84,0.51,4,2.04,0.480,3/3/22,3/18/22,135.50,187.02,6.56,5.52,4.98,3.91,41.73,32.88,At Fair Value,0,Blended,Ex-date,6,5.18,16.46,11.69,9.31,12.65,1.06,0.42,7.31,37.39,4.09,5.45,,Insurance
AL,Air Lease Corporation,,Industrials,10,30.14,2.46,1.51,0.185,4,0.74,0.160,12/16/21,1/5/22,29.75,50.99,11.30,14.48,22.52,,-7.38,11.05,In the Margin of Safety,-29,Blended,Ex-date,25,0.00,7.18,-5.27,12.26,-1.82,2.78,0.74,3.08,-33.61,0.79,0.00,,Trading Companies and Distributors
ALB,Albemarle Corporation,,Materials,28,202.17,0.78,1.50,0.395,4,1.58,0.390,3/17/22,4/1/22,157.82,291.48,1.30,4.48,4.86,8.31,52.54,41.25,Above Fair Value,24,Blended,Ex-date,6,-28.67,12.65,7.76,3.36,6.08,1.12,0.31,5.66,91.93,4.45,-109.01,,Chemicals
ALE,"ALLETE, Inc.",,Utilities,12,56.8,4.58,3.44,0.65,4,2.60,0.630,2/14/22,3/1/22,56.55,73.10,2.32,3.86,3.93,3.54,3.57,-3.10,In the Margin of Safety,-20,Blended,Ex-date,9,-0.80,22.48,12.56,3.23,4.71,0.87,0.39,2.14,19.22,1.46,6.45,,Electric Utilities
ALG,Alamo Group Inc.,,Industrials,8,109.83,0.66,0.44,0.18,4,0.72,0.140,1/14/22,2/1/22,108.35,160.71,13.21,10.07,10.16,9.60,-7.55,13.40,In the Margin of Safety,-46,Blended,Ex-date,11,35.44,19.38,5.87,0.28,11.87,3.78,0.35,7.09,20.97,2.34,1.68,,Machinery
ALL,The Allstate Corporation,,Financials,12,119.53,2.84,2.08,0.85,4,3.40,0.810,2/25/22,4/1/22,106.11,144.46,34.99,20.39,19.26,14.46,23.72,16.38,In the Margin of Safety,-7,Blended,Ex-date,22,-11.48,15.90,7.21,14.41,13.62,0.45,0.26,8.96,12.04,1.80,0.54,,Insurance
ALLE,Allegion plc,,Industrials,9,96.37,1.70,1.10,0.41,4,1.64,0.360,3/15/22,3/31/22,95.71,148.70,12.88,18.30,23.44,,-11.60,7.80,In the Margin of Safety,-42,Blended,Ex-date,25,51.66,0.81,16.16,4.46,63.45,1.86,0.68,14.55,20.95,13.00,0.85,,Building Products
ALLY,Ally Financial Inc.,,Financials,6,32.24,3.72,2.54,0.3,4,1.20,0.250,1/31/22,2/15/22,32.05,56.28,30.27,18.17,32.77,,-1.89,19.47,In the Margin of Safety,-61,Blended,Ex-date,36,37.33,15.69,33.40,12.80,19.47,0.06,0.00,,5.41,1.09,0.19,,Consumer Finance
ALRS,Alerus Financial Corporation,,Financials,23,23.01,3.13,2.55,0.18,4,0.72,0.160,6/16/22,7/8/22,22.40,38.31,6.67,5.83,7.30,7.88,-5.15,15.19,In the Margin of Safety,-5,Blended,Pay date,10,-12.79,-6.42,21.07,7.51,14.49,0.06,0.00,,10.13,1.46,0.55,,Diversified Financial Services
AMAT,"Applied Materials, Inc.",,Information Technology,5,89.59,1.16,1.20,0.26,4,1.04,0.240,5/25/22,6/16/22,88.75,167.06,9.10,6.27,19.14,11.62,-0.66,51.00,In the Margin of Safety,-32,Blended,Ex-date,20,138.83,60.91,27.21,6.62,57.33,2.30,0.34,28.18,14.59,8.30,0.31,,Semiconductors and Semiconductor Equipment
AMGN,Amgen Inc.,,Health Care,11,230.71,3.36,2.85,1.94,4,7.76,1.760,2/14/22,3/8/22,198.64,258.45,10.07,10.10,11.72,22.88,0.32,11.63,In the Margin of Safety,-2,Blended,Ex-date,15,-16.36,4.58,21.75,16.57,111.67,1.44,0.98,15.12,23.78,141.03,-28.25,,Biotechnology
AMNB,American National Bankshares Inc.,,Financials,8,33.61,3.33,3.23,0.28,4,1.12,0.270,12/2/21,12/17/21,29.01,40.34,1.86,3.23,2.77,1.81,17.46,6.14,At Fair Value,0,Blended,Ex-date,6,27.48,16.65,36.59,4.95,12.19,0.17,0.00,,9.89,1.21,0.66,,Banks
AMP,"Ameriprise Financial, Inc.",,Financials,17,235.6,2.12,2.44,1.25,4,5.00,1.130,5/6/22,5/20/22,233.59,332.37,8.66,7.89,8.55,16.64,31.27,35.86,At Fair Value,0,Blended,Ex-date,11,0.00,11.87,22.44,40.89,58.68,3.63,0.37,34.09,11.28,6.61,0.44,,Capital Markets
AMSF,"AMERISAFE, Inc.",,Financials,10,48.4,2.56,1.74,0.31,4,1.24,0.290,3/10/22,3/25/22,44.06,64.90,9.27,9.05,9.79,,-15.17,1.80,In the Margin of Safety,-4,Blended,Ex-date,12,-33.08,-10.40,20.71,1.48,15.14,2.23,0.00,11.46,15.07,2.43,-12.20,,Insurance
AMT,American Tower Corporation (REIT),,Real Estate,12,234.18,2.44,2.11,1.43,4,5.72,1.400,6/16/22,7/8/22,220.00,303.72,15.02,18.27,19.15,,7.17,10.48,At Fair Value,0,Blended,Ex-date,22,34.04,20.13,26.73,9.67,37.94,0.41,0.85,4.17,43.33,21.38,1.92,,Equity Real Estate Investment Trusts (REITs)
ANDE,"The Andersons, Inc.",,Consumer Staples,26,35.38,2.04,2.35,0.18,4,0.72,0.175,12/31/21,1/21/22,25.20,59.00,1.43,1.96,2.42,7.44,87.23,19.31,In the Margin of Safety,-15,Blended,Ex-date,4,69.03,58.93,0.68,-20.36,10.27,1.29,0.62,3.26,17.85,1.56,0.64,,Food and Staples Retailing
ANTM,"Anthem, Inc.",,Health Care,12,454.76,1.13,1.18,1.28,4,5.12,1.130,3/9/22,3/25/22,355.44,533.68,17.34,15.26,12.43,16.24,38.44,21.11,At Fair Value,0,Blended,Ex-date,14,35.76,15.83,4.33,34.59,17.80,1.36,0.41,9.64,19.11,3.30,0.98,,Healthcare Providers and Services
AON,Aon Plc,,Financials,11,248.5,0.90,0.90,0.56,4,2.24,0.510,4/29/22,5/13/22,223.19,341.98,13.34,8.44,9.10,13.02,42.57,25.10,In the Margin of Safety,-2,Blended,Ex-date,10,-32.80,8.50,11.07,9.40,50.36,1.08,0.90,17.90,52.90,58.91,7.58,,Insurance
AOS,A. O. Smith Corporation,,Industrials,29,53.59,2.09,1.62,0.28,4,1.12,0.260,10/28/21,11/15/21,53.15,86.74,8.01,10.53,16.66,21.43,-4.06,8.15,In the Margin of Safety,-37,Blended,Ex-date,19,32.45,23.79,13.59,3.49,27.85,1.72,0.16,19.38,19.93,5.52,1.92,,Building Products
APD,"Air Products and Chemicals, Inc.",,Materials,40,235.1,2.76,2.34,1.62,4,6.48,1.500,3/31/22,5/9/22,216.24,316.39,10.88,11.13,11.64,9.91,-9.16,11.77,In the Margin of Safety,-5,Blended,Ex-date,14,15.65,22.92,19.63,13.80,15.76,1.95,0.35,6.79,25.49,3.98,1.80,,Chemicals
APH,Amphenol Corporation,,Information Technology,11,62.51,1.28,0.99,0.2,4,0.80,0.145,12/20/21,1/12/22,61.90,88.45,27.78,14.48,18.13,33.81,15.28,18.02,In the Margin of Safety,-35,Blended,Ex-date,19,28.84,25.65,14.74,2.63,27.90,2.55,0.44,13.28,27.05,7.01,1.94,,"Electronic Equipment, Instruments and Components"
APOG,"Apogee Enterprises, Inc.",,Industrials,11,36.39,2.42,2.02,0.22,4,0.88,0.200,1/28/22,2/15/22,33.88,50.45,7.55,8.20,9.75,9.67,18.51,10.80,In the Margin of Safety,-28,Blended,Ex-date,12,-76.48,6.77,0.27,4.04,0.80,1.46,0.36,9.41,325.45,2.80,-7.12,,Building Products
AQN,Algonquin Power & Utilities Corp.,,Utilities,11,13.06,5.54,4.36,0.181,4,0.72,0.171,6/29/22,7/15/22,12.96,16.10,10.00,10.00,9.47,17.30,2.54,16.21,In the Margin of Safety,-10,Blended,Ex-date,15,-64.75,29.25,14.33,0.89,3.49,0.97,0.49,1.88,29.89,1.87,1.05,,Multi-Utilities
ARE,"Alexandria Real Estate Equities, Inc.",,Real Estate,12,130.54,3.62,2.67,1.18,4,4.72,1.150,6/29/22,7/15/22,130.02,224.95,5.59,6.12,6.85,9.11,25.31,15.05,In the Margin of Safety,-8,Blended,Ex-date,10,-53.68,16.39,18.32,6.51,2.93,3.30,0.35,1.27,75.49,1.92,0.00,,Equity Real Estate Investment Trusts (REITs)
AROW,Arrow Financial Corporation,,Financials,29,31.84,3.39,3.20,0.27,4,1.08,0.260,2/28/22,3/15/22,30.50,38.25,4.01,3.67,4.02,3.10,3.25,5.83,In the Margin of Safety,-2,Blended,Ex-date excl. specials,7,6.39,9.42,34.56,4.05,14.06,0.14,0.00,,10.58,1.46,0.86,,Banks
ARTN.A,Artesian Resources Corporation,,Utilities,30,45.12,2.42,2.52,0.273,4,1.09,0.268,5/6/22,5/23/22,35.90,50.88,4.31,3.19,3.13,3.27,26.40,12.16,At Fair Value,0,Blended,Ex-date,6,0.24,3.96,18.52,3.50,9.71,0.31,0.49,5.14,26.71,2.54,5.76,,Water Utilities
ASB,Associated Banc-Corp,,Financials,11,18.29,4.37,3.49,0.2,4,0.80,0.180,8/31/21,9/15/21,18.17,25.78,8.34,6.82,11.14,25.58,10.43,6.25,In the Margin of Safety,-32,Blended,Ex-date,16,-4.16,-3.51,29.91,4.13,8.20,0.03,0.00,,10.87,0.90,1.21,,Banks
ATLO,Ames National Corporation,,Financials,12,22.84,4.73,3.88,0.27,4,1.08,0.260,4/28/22,5/13/22,22.05,25.55,4.01,4.18,4.37,7.18,1.39,0.95,In the Margin of Safety,-25,Blended,Ex-date excl. specials,9,8.27,5.63,34.97,3.10,12.10,0.09,0.00,,9.83,1.28,1.14,,Banks
ATO,Atmos Energy Corporation,,Utilities,38,104.58,2.60,2.21,0.68,4,2.72,0.625,11/26/21,12/13/21,85.80,122.96,8.75,8.92,8.45,6.66,24.10,7.62,In the Margin of Safety,0,Blended,Ex-date,11,-1.89,19.84,18.91,7.19,8.64,1.10,0.47,3.42,21.99,1.85,2.55,,Gas Utilities
ATR,"AptarGroup, Inc.",,Materials,29,94.77,1.60,1.30,0.38,4,1.52,0.360,4/27/21,5/19/21,94.03,142.66,5.56,4.30,4.16,6.12,-16.09,4.62,In the Margin of Safety,-12,Blended,Ex-date,6,-9.74,10.42,6.76,5.84,11.40,1.91,0.43,7.12,34.71,3.89,-299.54,,Containers and Packaging
ATRI,Atrion Corporation,,Health Care,19,630.89,1.24,0.89,1.95,4,7.80,1.750,9/14/21,9/30/21,579.96,805.62,11.77,13.13,13.42,14.94,12.38,-5.81,In the Margin of Safety,-6,Blended,Ex-date excl. specials,15,10.66,20.83,19.56,23.93,13.78,8.58,0.00,9.52,38.10,5.20,16.88,,Healthcare Equipment and Supplies
ATVI,"Activision Blizzard, Inc.",,Communication Services,12,73.93,0.64,0.51,0.47,1,0.47,0.410,4/14/21,5/6/21,56.40,96.15,14.64,8.31,9.40,10.08,-13.45,21.19,In the Margin of Safety,-1,Blended,Ex-date,10,6.31,-3.24,29.84,2.85,14.93,5.46,0.17,9.35,25.20,3.52,1.39,,Entertainment
AUB,Atlantic Union Bankshares Corporation,,Financials,12,31.61,3.54,3.04,0.28,4,1.12,0.250,5/20/21,6/4/21,31.44,42.67,12.01,7.57,7.51,14.87,-1.58,7.65,In the Margin of Safety,-17,Blended,Ex-date,11,24.00,6.12,35.08,4.77,9.66,0.04,0.00,,11.73,1.11,1.04,,Banks
AUBN,"Auburn National Bancorporation, Inc.",,Financials,21,29.19,3.63,2.62,0.265,4,1.06,0.260,3/9/22,3/25/22,28.10,37.11,1.96,2.52,2.92,2.65,-10.79,-3.10,In the Margin of Safety,-23,Blended,Ex-date,7,6.93,1.09,27.99,2.40,8.54,0.19,0.00,,14.47,1.36,11.25,,Banks
AUDC,AudioCodes Ltd.,,Information Technology,5,21.03,1.71,1.16,0.18,2,0.36,0.170,2/14/22,3/1/22,19.62,37.35,16.67,4.13,,,-4.17,24.05,In the Margin of Safety,-48,Blended,Ex-date,,0.42,12.68,12.63,1.09,16.48,1.45,0.08,10.80,25.69,4.39,1.89,,Communications Equipment
AVA,Avista Corporation,,Utilities,20,40.28,4.37,3.49,0.44,4,1.76,0.423,2/17/22,3/15/22,37.73,46.90,4.28,4.30,4.28,4.36,-1.56,7.72,In the Margin of Safety,-4,Blended,Ex-date,9,-1.81,10.68,10.14,4.03,7.02,0.93,0.55,2.79,21.12,1.47,-29.62,,Multi-Utilities
AVB,"AvalonBay Communities, Inc.",,Real Estate,11,186.39,3.41,3.33,1.59,4,6.36,1.520,3/30/20,4/15/20,183.35,259.05,0.00,2.37,3.07,5.72,38.34,10.97,At Fair Value,0,Blended,Pay date,6,40.60,5.54,47.36,8.73,10.39,1.09,0.43,2.20,30.88,3.16,22.46,,Equity Real Estate Investment Trusts (REITs)
AVGO,Broadcom Inc.,,Information Technology,13,497.18,3.30,3.14,4.1,4,16.40,3.600,12/21/21,12/31/21,455.71,677.76,12.41,20.51,38.25,42.38,39.69,32.70,In the Margin of Safety,-6,Blended,Ex-date,42,85.88,17.38,29.77,36.04,39.72,2.15,0.66,11.32,26.41,10.74,0.00,,Semiconductors and Semiconductor Equipment
AVNT,Avient Corporation,,Materials,12,40.29,2.36,2.37,0.238,4,0.95,0.213,12/16/21,1/7/22,40.11,61.46,8.44,6.75,12.04,18.14,3.42,20.86,In the Margin of Safety,-44,Blended,Ex-date,14,32.13,34.06,4.77,2.73,13.26,1.24,0.52,7.22,18.63,2.43,4.67,,Chemicals
AVT,"Avnet, Inc.",,Information Technology,9,41.89,2.48,2.26,0.26,4,1.04,0.240,3/1/22,3/16/22,35.71,50.19,14.29,6.72,6.83,,0.17,0.23,In the Margin of Safety,-18,Blended,Ex-date,9,231.35,25.44,2.30,-1.27,12.96,2.03,0.28,9.37,7.46,0.92,0.36,,"Electronic Equipment, Instruments and Components"
AVY,Avery Dennison Corporation,,Materials,12,153.31,1.96,1.75,0.75,4,3.00,0.680,5/31/22,6/15/22,151.62,229.24,13.34,9.36,10.65,10.31,-3.99,17.45,In the Margin of Safety,-3,Blended,Ex-date,13,26.19,23.45,8.38,11.65,41.48,1.07,0.63,14.64,19.87,7.43,0.90,,Containers and Packaging
AWI,"Armstrong World Industries, Inc.",,Industrials,5,76.05,1.21,0.66,0.231,4,0.92,0.210,11/3/21,11/18/21,75.76,118.14,7.57,36.09,,,0.78,5.24,In the Margin of Safety,-37,Blended,Ex-date excl. specials,,10.14,20.98,16.90,3.89,38.02,1.65,0.57,9.99,22.25,7.88,2.35,,Building Products
AWK,"American Water Works Company, Inc.",,Utilities,14,130.88,2.00,1.68,0.655,4,2.62,0.603,5/9/22,6/1/22,129.92,189.65,9.55,9.82,9.95,10.23,12.05,18.49,In the Margin of Safety,-3,Blended,Adjusted ex-date,12,78.16,1.65,33.17,7.77,18.35,0.52,0.60,4.52,23.43,4.04,1.10,,Water Utilities
AWR,American States Water Company,,Utilities,68,71.43,2.04,1.65,0.365,4,1.46,0.335,8/13/21,9/1/21,71.22,103.77,9.17,9.81,8.94,9.83,19.69,9.41,In the Margin of Safety,-9,Blended,Ex-date,11,-2.64,-1.19,18.20,3.50,13.36,0.82,0.49,6.84,36.94,4.79,5.06,,Water Utilities
AXS,AXIS Capital Holdings Limited,,Financials,19,53.55,3.21,3.19,0.43,4,1.72,0.420,12/29/21,1/18/22,44.49,61.39,2.42,2.48,3.10,6.11,26.04,6.83,In the Margin of Safety,-16,Blended,Ex-date,6,306.10,7.05,12.09,13.01,12.52,0.63,0.22,6.33,8.35,1.13,1.01,,Insurance
AY,Atlantica Yield plc,,Utilities,5,30.83,5.71,6.16,0.44,4,1.76,0.435,3/11/22,3/25/22,28.82,41.32,29.65,15.92,25.23,,1.55,29.15,At Fair Value,0,Blended,Ex-date,31,0.00,16.39,-1.93,4.45,-0.53,2.17,0.78,2.09,-170.50,2.51,0.00,,Independent Power and Renewable Electricity Producers
BAC,Bank of America Corporation,,Financials,9,31.85,2.64,2.13,0.21,4,0.84,0.180,9/2/21,9/24/21,30.86,50.11,12.50,12.43,24.12,35.10,8.57,16.93,In the Margin of Safety,-29,Blended,Ex-date,27,50.87,14.03,33.61,-0.04,11.47,0.39,0.00,,11.64,1.39,0.78,,Banks
BAH,Booz Allen Hamilton Holding Corporation,,Information Technology,11,80.68,2.13,1.62,0.43,4,1.72,0.370,2/10/22,3/2/22,69.68,91.46,18.47,24.40,19.96,32.84,11.14,16.63,In the Margin of Safety,-7,Blended,Ex-date excl. specials,22,-21.38,6.43,5.59,5.50,44.07,1.60,0.75,12.24,25.42,11.14,1.74,,IT Services
BALL,Ball Corporation,,Materials,6,63.31,1.26,0.84,0.2,4,0.80,0.150,8/31/21,9/15/21,62.91,98.09,25.00,23.32,23.60,17.08,7.10,16.81,In the Margin of Safety,-47,Blended,Ex-date,25,48.70,18.82,7.81,4.42,29.96,0.98,0.70,7.40,25.97,7.41,1.28,,Containers and Packaging
