Symbol,Company,FV,Sector,No Years,Price,Div Yield,5Y Avg Yield,Current Div,Payouts/ Year,Annualized,Previous Div,Ex-Date,Pay-Date,Low,High,DGR 1Y,DGR 3Y,DGR 5Y,DGR 10Y,TTR 1Y,TTR 3Y,Fair Value,FV %,,Streak Basis,Chowder Number,EPS 1Y,Revenue 1Y,NPM,CF/Share,ROE,Current R,Debt/Capital,ROTC,P/E,P/BV,PEG,New Member,Industry
CFR,"Cullen/Frost Bankers, Inc.",,Financials,29,128.55,2.71,2.82,0.87,4,3.48,0.750,8/30/22,9/15/22,105.94,147.39,4.53,3.33,6.50,4.90,6.47,10.76,At Fair Value,0,Blended,Ex-date,9,0.52,8.92,29.97,10.55,9.96,0.38,0.00,,17.87,1.69,3.64,,Banks
CHD,"Church & Dwight Co., Inc.",,Consumer Staples,26,96.21,1.09,1.25,0.263,4,1.05,0.253,2/14/22,3/1/22,80.34,105.28,4.57,5.00,6.99,9.65,9.95,9.52,At Fair Value,0,Blended,Ex-date,8,5.48,5.62,15.46,4.29,24.53,0.66,0.44,10.66,29.93,7.09,2.44,,Household Products
CINF,Cincinnati Financial Corporation,,Financials,62,97.68,2.83,2.64,0.69,4,2.76,0.630,3/17/22,4/15/22,97.09,143.22,7.32,6.59,6.14,5.07,4.30,7.36,At Fair Value,0,Blended,Ex-date excl. specials,9,-80.95,-24.36,7.59,11.15,4.84,1.07,0.08,3.53,35.21,1.81,-40.07,,Insurance
CL,Colgate-Palmolive Company,,Consumer Staples,59,79.19,2.37,2.34,0.47,4,1.88,0.450,4/20/22,5/13/22,72.20,85.61,2.83,2.51,3.00,4.43,0.76,6.23,At Fair Value,0,Blended,Ex-date,5,-22.12,4.54,11.70,3.70,318.19,1.10,0.92,27.71,31.28,197.95,-11.43,,Household Products
CLX,The Clorox Company,,Consumer Staples,45,144.67,3.26,2.56,1.18,4,4.72,1.160,7/26/22,8/12/22,120.50,186.86,4.51,6.52,7.72,6.82,-19.42,-0.26,In the Margin of Safety,0,Blended,Ex-date,11,-49.25,-5.51,6.45,6.77,61.70,0.71,0.85,10.23,37.44,42.78,-5.88,,Household Products
CNI,Canadian National Railway Company,,Industrials,27,124.29,1.88,1.77,0.584,4,2.33,0.572,6/8/22,6/30/22,104.67,137.19,13.34,12.66,12.42,11.82,8.46,8.68,In the Margin of Safety,0,Blended,Ex-date,14,29.32,8.44,33.28,9.75,24.35,0.71,0.41,12.30,15.39,3.55,2.08,,Road and Rail
CSL,Carlisle Companies Incorporated,,Industrials,46,287.6,0.75,1.24,0.54,4,2.16,0.525,8/17/21,9/1/21,195.04,290.74,2.86,10.53,9.06,11.62,25.85,20.85,In the Margin of Safety,-10,Blended,Ex-date,10,128.61,44.93,12.69,9.32,13.30,3.30,0.47,13.11,16.98,4.59,0.52,,Industrial Conglomerates
CTAS,Cintas Corporation,,Industrials,39,420.02,1.10,1.17,1.15,4,4.60,0.950,8/12/22,9/15/22,343.86,461.44,-24.16,22.85,23.37,21.55,-1.27,17.66,At Fair Value,0,Blended,Fiscal year ex-date excl. specials,24,13.29,10.38,15.74,14.91,35.33,1.84,0.48,15.55,33.43,12.25,1.47,,Commercial Services and Supplies
CTBI,"Community Trust Bancorp, Inc.",,Financials,42,42.83,4.11,3.70,0.44,4,1.76,0.400,9/14/22,10/1/22,38.21,46.30,3.90,3.58,4.57,3.57,4.13,2.58,In the Margin of Safety,-6,Blended,Ex-date excl. specials,9,-0.79,0.13,36.91,6.07,12.22,0.02,0.00,,8.96,1.15,0.81,,Banks
CVX,Chevron Corporation,,Energy,35,150.39,3.78,4.32,1.42,4,5.68,1.340,2/15/22,3/10/22,92.86,182.40,5.96,6.12,5.08,5.28,44.49,10.41,At Fair Value,0,Blended,Ex-date,9,0.00,84.52,11.60,17.20,14.69,1.44,0.17,7.62,15.26,2.19,0.33,,"Oil, Gas and Consumable Fuels"
CWT,California Water Service Group,,Utilities,55,59.43,1.68,1.70,0.25,4,1.00,0.230,2/4/22,2/18/22,48.46,72.08,8.48,7.63,6.37,4.43,1.66,4.85,At Fair Value,0,Blended,Ex-date,8,-44.40,-5.26,10.69,3.30,7.79,0.97,0.49,3.60,34.16,2.50,5.47,,Water Utilities
DCI,"Donaldson Company, Inc.",,Industrials,36,53.32,1.73,1.64,0.23,4,0.92,0.220,6/8/22,6/24/22,46.00,69.35,4.71,4.50,4.93,10.78,-23.05,-0.27,In the Margin of Safety,-5,Blended,Ex-date,7,20.65,18.22,9.91,1.94,27.77,2.26,0.37,15.42,19.30,5.37,2.25,,Machinery
DOV,Dover Corporation,,Industrials,67,131.8,1.52,1.90,0.5,4,2.00,0.495,8/30/21,9/15/21,116.66,184.05,1.02,1.38,2.59,4.73,-18.42,8.30,At Fair Value,0,Blended,Ex-date,4,29.81,10.64,13.90,6.12,28.18,1.41,0.44,11.30,15.30,3.97,0.96,,Machinery
EBTC,"Enterprise Bancorp, Inc.",,Financials,28,31.79,2.58,2.16,0.205,4,0.82,0.185,2/7/22,3/1/22,29.58,46.48,8.34,8.54,8.04,6.14,0.38,2.96,In the Margin of Safety,-13,Blended,Ex-date,11,-6.90,4.36,24.77,4.25,12.54,0.09,0.00,,9.92,1.36,0.81,,Banks
ECL,Ecolab Inc.,,Materials,30,162.97,1.25,1.05,0.51,4,2.04,0.480,12/13/21,1/18/22,143.82,238.93,5.24,3.94,6.61,10.00,-24.54,-7.08,In the Margin of Safety,-9,Blended,Ex-date,8,5.07,11.55,8.18,6.65,16.19,1.29,0.57,7.62,39.80,6.18,-14.72,,Chemicals
ED,"Consolidated Edison, Inc.",,Utilities,48,98.48,3.21,3.75,0.79,4,3.16,0.775,2/15/22,3/15/22,71.52,101.12,1.63,2.46,2.85,2.65,37.72,6.75,At Fair Value,0,Blended,Ex-date,6,11.41,14.36,10.88,8.31,6.66,1.01,0.55,3.82,21.76,1.65,9.06,,Multi-Utilities
EMR,Emerson Electric Co.,,Industrials,65,88.39,2.33,2.73,0.515,4,2.06,0.505,11/10/21,12/10/21,76.16,105.99,1.74,1.60,1.38,2.87,-15.55,8.85,At Fair Value,0,Blended,Ex-date,4,35.30,10.81,15.17,4.92,29.07,1.68,0.52,10.73,20.37,5.51,1.54,,Electrical Equipment
ENB,Enbridge Inc.,,Energy,26,44.71,5.90,6.37,0.66,4,2.64,,,,36.21,47.67,3.63,7.89,9.52,9.72,12.61,12.87,At Fair Value,0,Blended,Ex-date,15,-7.58,27.60,12.45,4.76,9.77,0.68,0.55,3.60,15.97,1.71,0.85,,"Oil, Gas and Consumable Fuels"
EPD,Enterprise Products Partners L.P.,,Energy,25,26.41,7.19,7.75,0.475,4,1.90,0.465,7/28/22,8/12/22,20.42,28.65,28.22,9.78,7.09,6.42,11.03,3.02,In the Margin of Safety,-4,Blended,Ex-date,14,22.09,54.69,10.29,3.96,17.89,0.85,0.53,6.37,12.38,2.21,1.12,,"Oil, Gas and Consumable Fuels"
ERIE,Erie Indemnity Company,,Financials,32,195.19,2.27,2.08,1.11,4,4.44,1.035,1/4/22,1/20/22,158.46,234.96,7.26,7.23,7.24,7.23,1.72,-6.78,At Fair Value,0,Blended,Declaration date excl. specials,10,-4.76,4.95,10.95,7.52,23.05,1.25,0.07,14.87,31.45,6.91,4.74,,Insurance
ESS,"Essex Property Trust, Inc.",,Real Estate,28,284.8,3.09,3.05,2.2,4,8.80,2.090,3/30/22,4/14/22,250.62,363.36,2.95,4.04,5.08,7.21,-10.45,-0.63,At Fair Value,0,Blended,Ex-date,8,-4.40,7.50,23.97,12.37,6.71,3.42,0.51,2.70,44.22,2.93,-8.26,,Equity Real Estate Investment Trusts (REITs)
EXPD,"Expeditors International of Washington, Inc.",,Industrials,28,104.56,1.28,1.20,0.67,2,1.34,0.580,5/31/22,6/15/22,92.58,137.80,13.64,9.58,8.80,8.96,-22.18,9.98,In the Margin of Safety,-26,Blended,Ex-date,10,70.97,64.45,8.20,5.50,44.01,1.88,0.11,33.46,11.81,4.50,0.40,,Air Freight and Logistics
FELE,"Franklin Electric Co., Inc.",,Industrials,30,88.49,0.88,1.02,0.195,4,0.78,0.175,2/2/22,2/17/22,68.27,96.95,12.13,11.77,12.68,10.41,-8.31,16.72,In the Margin of Safety,-2,Blended,Ex-date,14,32.75,31.30,9.29,0.69,18.75,1.70,0.27,10.88,19.45,3.46,1.29,,Machinery
FLIC,The First of Long Island Corporation,,Financials,26,18.15,4.41,3.62,0.2,4,0.80,0.190,10/7/21,10/18/21,16.51,22.95,5.34,6.18,13.47,6.93,-14.27,-0.62,In the Margin of Safety,-26,Blended,Declaration date,18,4.50,3.75,36.25,2.29,11.35,0.02,0.00,,9.09,1.08,1.42,,Banks
FRT,Federal Realty Investment Trust,,Real Estate,55,104.74,4.09,3.88,1.07,4,4.28,1.060,9/21/21,10/15/21,92.02,140.51,0.95,1.61,1.78,4.49,-15.19,-5.69,In the Margin of Safety,0,Blended,Ex-date excl. specials,6,115.24,21.97,26.73,5.91,9.67,1.82,0.59,2.88,37.08,3.92,59.32,,Equity Real Estate Investment Trusts (REITs)
FUL,H.B. Fuller Company,,Materials,53,64.47,1.18,1.23,0.19,4,0.76,0.168,4/20/22,5/5/22,57.36,81.73,5.73,3.48,3.98,8.37,-4.38,10.47,In the Margin of Safety,-4,Blended,Ex-date,5,2.66,18.24,4.71,2.34,10.58,1.96,0.55,5.66,22.56,2.35,3.18,,Chemicals
GD,General Dynamics Corporation,,Industrials,31,223.8,2.25,2.38,1.26,4,5.04,1.190,4/7/22,5/6/22,188.64,254.99,35.64,16.93,20.88,15.44,20.95,9.73,At Fair Value,0,Blended,Declaration date,23,3.31,-0.21,8.61,20.88,20.24,1.40,0.44,8.95,18.79,3.53,3.78,,Aerospace and Defense
GGG,Graco Inc.,,Industrials,25,65.69,1.28,1.27,0.21,4,0.84,0.188,1/14/22,2/2/22,56.48,81.09,38.63,19.77,16.92,13.24,-20.65,7.07,In the Margin of Safety,-10,Blended,Declaration date excl. specials,18,-1.29,10.60,21.38,2.20,27.32,3.02,0.09,18.62,22.84,5.73,0.62,,Machinery
GPC,Genuine Parts Company,,Consumer Discretionary,66,149.61,2.39,2.93,0.895,4,3.58,0.815,3/3/22,4/1/22,115.63,150.24,6.55,4.88,5.12,6.12,8.01,12.01,At Fair Value,0,Blended,Ex-date,8,36.75,14.83,5.38,9.47,31.98,1.17,0.53,13.59,17.15,5.17,1.59,,Distributors
GWW,"W.W. Grainger, Inc.",,Industrials,51,501.88,1.37,1.70,1.72,4,6.88,1.620,5/6/22,6/1/22,391.16,529.91,5.96,6.04,5.91,9.00,5.24,21.21,At Fair Value,0,Blended,Ex-date,7,58.79,14.36,8.62,19.11,55.92,2.55,0.54,22.83,22.73,12.67,1.26,,Trading Companies and Distributors
HRL,Hormel Foods Corporation,,Consumer Staples,56,49.25,2.11,1.98,0.26,4,1.04,0.245,1/14/22,2/15/22,40.48,55.11,5.77,8.31,9.90,13.80,1.30,7.51,At Fair Value,0,Blended,Ex-date,12,7.50,26.25,7.71,2.25,13.67,2.28,0.32,8.49,29.64,3.90,27.15,,Food Products
IBM,International Business Machines Corporation,,Information Technology,27,129.22,5.11,4.69,1.65,4,6.60,1.640,5/9/22,6/10/22,114.56,146.00,0.62,1.25,2.89,7.81,1.21,5.89,In the Margin of Safety,-1,Blended,Ex-date,8,114.36,27.28,9.37,10.93,27.09,0.88,0.74,5.33,22.56,6.58,-1.83,,IT Services
ITW,Illinois Tool Works Inc.,,Industrials,59,203.5,2.40,2.42,1.22,4,4.88,1.140,9/29/21,10/14/21,173.52,249.82,7.02,6.86,13.42,12.99,-16.58,9.08,At Fair Value,0,Blended,Ex-date,16,22.21,15.21,18.09,7.24,78.31,1.74,0.69,19.28,24.50,18.22,3.33,,Machinery
JKHY,"Jack Henry & Associates, Inc.",,Information Technology,32,206.31,0.95,1.06,0.49,4,1.96,0.460,3/7/22,3/25/22,147.50,206.91,6.75,7.26,10.00,15.76,11.32,11.59,At Fair Value,0,Blended,Fiscal year ex-date,11,25.60,11.18,18.81,6.76,27.19,1.48,0.18,18.33,40.38,10.81,5.37,,IT Services
JNJ,Johnson & Johnson,,Health Care,60,174.2,2.59,2.63,1.13,4,4.52,1.060,5/23/22,6/7/22,155.72,186.69,5.38,5.70,5.88,6.39,10.52,11.32,At Fair Value,0,Blended,Ex-date,8,3.47,7.18,19.22,9.93,26.81,1.39,0.33,14.78,25.71,6.32,8.58,,Pharmaceuticals
KMB,Kimberly-Clark Corporation,,Consumer Staples,50,133.26,3.48,3.30,1.16,4,4.64,1.140,3/3/22,4/4/22,117.32,145.79,4.08,4.26,4.01,4.80,4.59,3.77,At Fair Value,0,Blended,Ex-date,7,-10.12,6.06,8.88,8.28,242.14,0.79,0.93,17.26,25.51,76.95,-10.10,,Household Products
KO,The Coca-Cola Company,,Consumer Staples,60,64.06,2.75,3.21,0.44,4,1.76,0.420,3/14/22,4/1/22,52.28,67.20,3.62,2.88,3.62,5.79,19.86,10.74,At Fair Value,0,Blended,Ex-date,6,17.88,13.49,23.17,2.70,39.22,1.13,0.64,11.09,29.10,12.11,1.62,,Beverages
LANC,Lancaster Colony Corporation,,Consumer Staples,60,133.15,2.40,1.84,0.8,4,3.20,0.750,12/3/21,12/31/21,116.85,198.81,6.79,7.30,7.94,8.38,-32.01,-2.89,In the Margin of Safety,-11,Blended,Ex-date excl. specials,10,-34.56,14.78,5.74,3.43,11.06,2.02,0.04,10.20,44.50,4.90,-9.29,,Food Products
LECO,"Lincoln Electric Holdings, Inc.",,Industrials,27,136.58,1.64,1.92,0.56,4,2.24,0.510,12/30/21,1/14/22,118.17,148.55,8.42,6.76,9.84,12.66,-4.79,16.66,At Fair Value,0,Blended,Ex-date,11,24.28,20.36,10.16,6.16,40.63,1.63,0.44,21.92,20.11,7.84,1.70,,Machinery
LEG,"Leggett & Platt, Incorporated",,Consumer Discretionary,51,40.12,4.39,3.99,0.44,4,1.76,0.420,6/14/22,7/15/22,33.19,49.94,4.94,3.35,4.26,4.27,-30.29,0.58,In the Margin of Safety,-14,Blended,Ex-date,9,36.14,19.58,7.73,2.36,25.94,1.59,0.58,9.39,11.72,2.79,5.02,,Household Durables
LIN,Linde plc,,Materials,29,296.93,1.58,1.69,1.17,4,4.68,1.060,3/10/22,3/25/22,265.12,352.18,10.24,9.47,7.73,7.83,0.89,14.54,At Fair Value,0,Blended,Ex-date,9,10.98,12.71,10.89,19.51,8.35,0.74,0.29,6.30,41.22,3.64,7.78,,Chemicals
LOW,"Lowe's Companies, Inc.",,Consumer Discretionary,60,190.8,2.20,1.67,1.05,4,4.20,0.800,7/19/22,8/3/22,170.12,263.31,36.18,18.57,17.98,19.05,-8.59,22.06,In the Margin of Safety,-40,Blended,Ex-date,20,34.46,1.22,8.86,12.62,631.10,1.18,1.26,28.01,16.01,-18.75,0.52,,Specialty Retail
MATW,Matthews International Corporation,,Industrials,27,27.43,3.21,2.67,0.22,4,0.88,0.215,11/26/21,12/13/21,26.25,39.76,2.35,3.47,5.81,9.60,-18.15,-3.72,In the Margin of Safety,-33,Blended,Ex-date,9,0.00,12.06,-1.26,4.53,-3.54,1.81,0.58,3.18,-46.57,1.62,0.00,,Commercial Services and Supplies
MCD,McDonald's Corporation,,Consumer Discretionary,47,263.46,2.10,2.36,1.38,4,5.52,1.290,11/30/21,12/15/21,217.68,271.15,6.06,6.55,7.92,7.20,9.29,8.46,At Fair Value,0,Blended,Ex-date,10,-11.51,8.51,25.78,11.79,84.52,1.45,1.14,13.12,30.17,-30.48,5.17,,"Hotels, Restaurants and Leisure"
MCY,Mercury General Corporation,,Financials,35,41.93,6.06,5.07,0.635,4,2.54,0.633,12/15/21,12/30/21,40.48,61.99,0.40,0.40,0.40,0.44,-28.37,-6.16,In the Margin of Safety,-44,Blended,Ex-date,6,0.00,-6.48,-1.48,7.84,-2.79,0.69,0.18,-1.79,-54.41,1.60,0.00,,Insurance
MDT,Medtronic plc,,Health Care,45,93.47,2.91,2.40,0.68,4,2.72,0.630,6/23/22,7/15/22,86.70,135.89,8.44,8.72,8.37,10.24,-25.90,-0.29,In the Margin of Safety,-13,Blended,Declaration date,11,40.00,5.22,15.91,5.48,9.71,1.87,0.33,5.27,27.81,2.65,5.41,,Healthcare Equipment and Supplies
MDU,"MDU Resources Group, Inc.",,Utilities,31,28.12,3.09,3.10,0.218,4,0.87,0.213,12/8/21,1/1/22,24.92,33.34,2.37,2.43,2.49,2.67,-11.21,4.69,In the Margin of Safety,-8,Blended,Ex-date,6,-15.25,5.51,6.10,2.53,11.07,1.35,0.47,5.52,15.12,1.62,1.94,,Multi-Utilities
MGEE,"MGE Energy, Inc.",,Utilities,47,80.36,1.93,2.02,0.388,4,1.55,0.370,8/31/21,9/15/21,69.23,84.97,4.73,4.72,4.74,4.28,6.71,4.23,At Fair Value,0,Blended,Ex-date,7,3.38,16.88,16.60,4.31,10.29,1.99,0.38,5.24,27.42,2.76,5.15,,Electric Utilities
MGRC,McGrath RentCorp,,Industrials,30,82.74,2.20,2.38,0.455,4,1.82,0.435,4/13/22,4/29/22,67.08,91.37,29.50,16.32,16.46,9.03,-4.21,9.72,In the Margin of Safety,-3,Blended,Ex-date,19,-8.69,13.60,14.22,8.66,12.79,1.48,0.37,8.38,22.63,2.81,1.28,,Commercial Services and Supplies
MKC.V,"McCormick & Company, Incorporated",,Consumer Staples,36,87.42,1.69,1.54,0.37,4,1.48,0.340,12/30/21,1/10/22,77.05,107.02,9.24,9.22,9.55,9.19,-4.19,3.86,At Fair Value,0,Blended,Ex-date excl. specials,11,-9.43,5.19,10.78,2.82,15.26,0.75,0.54,6.25,36.43,5.43,6.06,,Food Products
MMM,3M Company,,Industrials,64,140.37,4.25,3.43,1.49,4,5.96,1.480,2/17/22,3/12/22,125.60,202.77,0.68,1.99,5.39,10.05,-32.47,-6.02,In the Margin of Safety,-26,Blended,Ex-date,10,-30.03,1.02,11.83,10.48,29.39,1.47,0.56,12.98,17.92,5.37,-4.21,,Industrial Conglomerates
MSA,MSA Safety Incorporated,,Industrials,51,123.52,1.49,1.40,0.46,4,1.84,0.440,5/13/22,6/10/22,112.89,167.49,2.90,4.50,5.85,5.33,-25.96,6.09,In the Margin of Safety,-10,Blended,Ex-date excl. specials,7,-59.71,8.28,2.96,3.96,5.10,2.52,0.45,12.32,110.83,5.68,-9.35,,Commercial Services and Supplies
